nums/length_username,fullnameWords,nums/length_fullname,name==username,descriptionLength,external URL,private,#posts,#followers,#follows
0.0,2,0.0,0,19,1,0,17.0,733.0,5844.0
0.125,2,0.0,0,22,0,0,97.0,215.0,340.0
0.0,2,0.0,0,24,1,0,176.0,3046.0,3592.0
0.0,2,0.0,0,28,1,0,55.0,1159.0,5858.0
0.0,2,0.0,0,8,0,1,15.0,242.0,4473.0
0.0,3,0.0,0,11,0,0,20.0,493.0,2220.0
0.0,1,,0,1,0,0,11.0,85.0,296.0
0.0,2,0.0,0,16,0,0,14.0,21.0,40.0
0.0,4,0.0,0,6,0,0,14.0,355.0,4731.0
0.0,2,0.0,0,6,1,0,792.0,3273.0,7205.0
0.0,2,0.0,0,18,1,0,20.0,1426.0,3736.0
0.0,3,0.0,0,16,0,0,14.0,600.0,5099.0
0.0,1,0.0,0,24,1,0,18.0,6006.0,799.0
0.0,2,0.0,0,1,0,1,0.0,316.0,4010.0
0.14285714285714285,2,0.0,0,20,0,1,2.0,649.0,3777.0
0.0,1,0.0,0,2,1,0,13.0,236.0,974.0
0.0,4,0.0,0,15,0,0,22.0,406.0,4684.0
0.0,2,0.0,0,7,0,1,1.0,124.0,3055.0
0.0,3,0.0,0,23,0,0,10.0,525.0,236.0
0.15789473684210525,3,0.1111111111111111,0,21,0,0,21.0,39.0,237.0
0.5,2,0.0,0,1,0,1,176.0,333.0,7500.0
0.0,1,,0,19,0,1,0.0,3.0,28.0
0.0,2,0.0,0,14,0,1,15.0,15709.0,6521.0
0.0625,4,0.0,0,5,0,0,47.0,2444.0,2954.0
0.0,2,0.0,0,14,1,0,301.0,271.0,1425.0
0.4444444444444444,2,0.0,0,1,0,0,68.0,569.0,3066.0
0.3333333333333333,1,0.0,0,1,0,0,0.0,508.0,5528.0
0.0,1,0.0,1,10,1,0,154.0,932.0,7365.0
0.14285714285714285,2,0.0,0,6,0,1,127.0,403.0,794.0
0.25,2,0.0,0,1,0,1,40.0,417.0,664.0
0.0,1,0.0,0,7,0,1,116.0,606.0,538.0
0.15384615384615385,2,0.0,0,15,0,1,124.0,866.0,2466.0
0.0,1,0.0,0,28,0,1,2.0,436.0,409.0
0.1875,1,0.0,0,4,0,0,15.0,95.0,703.0
0.3,2,0.0,0,1,0,1,54.0,416.0,903.0
0.0,1,0.0,0,1,0,1,0.0,186.0,1729.0
0.0,3,0.0,0,18,1,0,306.0,1139.0,410.0
0.0,1,0.0,0,10,1,0,618.0,1593.0,461.0
0.0,2,0.0,0,15,0,1,0.0,15.0,97.0
0.0,1,0.0,0,13,1,1,189.0,980.0,1090.0
0.0,2,0.0,0,4,0,0,190.0,992.0,1382.0
0.0,3,0.0,0,1,1,0,308.0,1310.0,2351.0
0.0,2,0.0,0,16,0,0,37.0,56.0,495.0
0.0,2,0.0,0,12,1,0,118.0,576.0,1585.0
0.0,5,0.0,0,27,1,0,366.0,499.0,2453.0
0.0,3,0.0,0,1,1,0,328.0,115.0,1061.0
0.0,1,,0,19,0,0,7.0,101.0,266.0
0.0,1,,0,1,0,0,2.0,474.0,6258.0
0.0,5,0.0,0,18,1,0,69.0,2504.0,6584.0
0.0,1,0.0,0,18,1,0,618.0,1349.0,3094.0
